desa,jumlah bangunan
Sri Katon,8824
Sinar Ogan,3350
Sukanegara,15420
Sindang Sari,19061
Rejomulyo,12112
Serdang,24557
Sabah Balau,17623
Trimulyo,10418
Way Galih,7631
Galih Lunik,14251
Budi Lestari,7226
Lematang,10874
Jati Baru,12462
Jati Indah,7971
Kaliasin,6669
Purwodadi Simpang,10170
Babulang,20
Agom,6217
Negeri Pandan,1858
Munjuk Sampurna,7135
Margacatur,14061
Merak Belatung,11769
Sukaratu,260
Sukatani,9138
Sumur Kumbang,463
Tajimalela,20057
Taman Agung,11999
Tengkujuh,678
Canggu,7952
Buah Berak,821
Bulok,1458
Maja,408
Kecapi,83
Kesugihan,1035
Kedaton,11611
Gunung Terang,6404
Jondong,599
Hara Banjar Manis,5149
Pematang,732
Palembapang,2755
Pauh Tanjung Iman,566
Suka Banjar,8658
Sukamaju,4784
Sukamarga,3650
Siring Jaha,2375
Suak,8458
Sidomulyo,10521
Sidorejo,2843
Sidowaluyo,15548
Sidodadi,2540
Seloretno,2784
Talang Baru,8708
Campang Tiga,13697
Bandar Dalam,4416
Budidaya,671
Banjar Suri,1307
Kota Dalam,6403
Babatan,1801
Neglasari,9812
Sukajaya,5435
Sidomekar,586
Rangai Tri Tunggal,0
Trans Tanjungan,2678
Tanjungan,5649
Tarahan,6711
Tanjung Ratu,4740
Tanjung Agung,10056
Karya Tunggal,213
Pardasuka,10254
Padan,657
Suka Baru,5705
Sukajaya,1122
Ruang Tengah,4223
Way Kalam,717
Tetaan,14131
Tanjung Heran,3336
Taman Baru,710
Gandri,10867
Gayam,1573
Gedung Harta,1066
Belambangan,1897
Banjar Masin,4915
Kekiling,2378
Kelau,2097
Kuripan,3636
Klaten,13347
Kampung Baru,485
Pisang,1820
Penengahan,2185
Pasuruan,4211
Rawi,2294
Mekar Mulya,8060
Sukamulya,3811
Sukaraja,7202
Sukabakti,7477
Rejo Mulyo,3886
Tanjung Sari,6579
Tanjung Jaya,6205
Bumi Restu,5523
Bumi Daya,10538
Bumi Asih,1103
Bumi Asri,2041
Bangunan,5724
Bali Agung,3273
Bandan Hurip,3422
Kalirejo,7878
Pematang Baru,1126
Pulau Jaya,4903
Pulau Tengah,1118
Palas Aji,1242
Palas Jaya,2333
Palas Pasemah,459
Sripendowo,10324
Sidoluhur,2122
Ruguk,28222
Sidoasih,1132
Tri Dharma Yoga,4022
Wai Sidomukti,1869
Sumur,18966
Taman Sari,4317
Sumber Nadi,7596
Bangunrejo,15681
Berundung,7339
Kemukus,13468
Lebung Nala,2497
Legundi,14911
Ketapang,15637
Karang Sari,16892
Pematang Pasir,2627
Marga Jasa,5249
Margasari,339
Sukapura,1243
Sumber Sari,13662
Sumber Agung,15018
Baktirasa,4550
Bandar Agung,7210
Mandala Sari,3712
Kuala Sekampung,3797
Kedaung,5703
Sukaraja,1997
Way Muli,1926
Wai Muli Timur,733
Tanjung Gading,289
Tejang Pulau Sebesi,7000
Cugung,742
Canggung,716
Canti,1165
Batu Balak,787
Betung,685
Banding,1536
Kota Guring,385
Kerinjing,255
Kunjir,1260
Hargo Pancuran,199
Rajabasa,994
Sinar Palembang,2257
Sinar Pasemah,5906
Sido Asri,11705
Rantau Minyak,2762
Rawa Selapan,9580
Trimomukti,13975
Titiwangi,9705
Way Gelam,4851
Cinta Mulya,8786
Bumi Jaya,8809
Batuliman Indah,4508
Beringin Kencana,12121
Banyumas,4074
Karya Mulya Sari,5779
Mekar Jaya,2206
Merbau Mataram,5860
Suban,4961
Sinar Karya,2621
Triharjo,6740
Tanjung Baru,6530
Tanjung Harapan,4834
Talang Jawa,2224
Baru Ranji,2536
Batu Agung,2443
Lebung Sari,1345
Karang Jaya,1244
Karang Raja,2829
Puji Rahayu,1730
Panca Tunggal,9431
Semanak,5547
Toto Harjo,2407
Bakauheni,20900
Kelawi,4592
Hatta,10682
Mulyosari,22930
Sidomukti,9064
Wawasan,7715
Wonodadi,6724
Bangun Sari,17936
Malangsari,17062
Kertosari,24958
Purwodadi Dalam,17372
Mekar Sari,3505
Sukamaju,2144
Sumber Agung,3830
Talang Way Sulan,3223
Banjarsari,4237
Karang Pucung,7835
Pamulihan,2871
Purwodadi,3035
Sidomakmur,6452
Sidoreno,7730
Sidoharjo,12501
Bali Nuraga,7129
Natar,9806
Merak Batin,11281
Muara Putih,22963
Suka Damai,25325
Rulung Raya,18579
Rulung Sari,24881
Sidosari,10008
Wai Sari,12381
Tanjung Sari,15851
Bumi Sari,2469
Banjar Negeri,5077
Bandarejo,9260
Krawang Sari,23966
Hajimena,16030
Kali Sari,8743
Purwosari,13361
Pemanggilan,5962
Pancasila,11846
Marga Agung,16066
Marga Kaya,4753
Margo Lestari,17433
Margo Mulyo,12672
Margodadi,6010
Margorejo,7712
Sinar Rejeki,21728
Rejomulyo,16622
Sidodadi Asri,25302
Sidoharjo,21571
Way Hui,11502
Sumber Jaya,28362
Gedung Agung,8727
Gedung Harapan,15264
Fajar Baru,10284
Banjar Agung,10052
Jati Mulyo,20888
Karang Anyar,23574
Karang Rejo,59140
Karang Sari,7841
Purwotani,20698
Negara Ratu,12793
Rejosari,6639
Rulung Helok,10397
Rulung Mulya,7857
Candi Mas,10911
Branti Raya,16327
Mandah,13846
Haduyang,17104
